Application ID,Application Code,Name,Max Criticality,Confidentiality,Integrity,Availability,Authenticity
99B89E9D57351394,AID241,deutsche-boerse.com,MI,N,MI,MI,N
,,,,,,,
99B89ED9573513F1,AID242,CCP Buy-In Tool,CR,CR,CR,CR,CR
,,,,,,,
,,,,,,,
DEBCDF1E5B07455E,AID449,SID,N,N,N,N,N
62C363235AEC7996,AID418,Alfresco,N,N,N,N,N
62C363B45AEC7AD5,AID419,WIKI,N,N,N,N,N
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5ECE5F3856B30F1A,AID228,EK-Neu,MI,MI,MI,MI,MI
7ECECC2D573172C7,AID240,SIRe,MA,MA,MA,MI,MA
7ECEAA5257316D21,AID239,RITA,MA,MA,MA,MA,MA
7ECE838857316B98,AID238,Trading Operations & Monitoring tools,MI,MI,MI,MI,MI
99D19A255A9E3D42,AID119,StatistiX Data Lake,N,N,N,N,N
,,,,,,,
D1D7D3C159114C01,AID295,RRH Transaction Reporting,CR,CR,CR,CR,CR
D1D7D2EB59114B26,AID294,RRH OTC Trade Reporting,CR,CR,CR,CR,CR
F5DA131E591B38AB,AID296,CADIS,N,N,N,N,N
F5DA1370591B3919,AID297,ICOS,N,N,N,N,N
A2DBACAD5AB8179C,AID365,Market Supervision Toolset - major group,N,N,N,N,N
7ADE7E51599E412F,AID303,Virtual Data Room,CR,CR,MI,MI,MI
,,,,,,,
63E166C959B2302B,AID309,Xetra-PND,N,N,N,N,N
22E623225AEB1E8C,AID414,Google Cloud Platform,N,N,N,N,N
45E7A1665A4B50E4,AID324,AHR,CR,CR,MA,MA,MA
,,,,,,,
79E7AC0758C64BDB,AID291,Sonar,CR,MA,MA,MA,CR
,,,,,,,
79E7AB2458C64A37,AID286,Jenkins,CR,CR,CR,MA,MA
79E7AAAB58C648E5,AID282,Ansible,N,N,N,N,N
79E7ABAF58C64A8B,AID287,Jetbrains Licence Server,N,N,N,N,N
79E7ABC758C64ADF,AID288,Software Change Management,MA,MA,MA,MI,MA
79E7AAD358C6493B,AID283,Artifactory,CR,CR,CR,CR,CR
